feature,importance
group,0.08829983059475828
up,0.07402778660455078
down,0.05218205871127475
loss,0.04773176352213027
profit,0.04601931052334676
increase,0.036398913022848416
growth,0.028315594129823974
decreased,0.024446255619539933
supply,0.021831903347339962
support,0.019672571341896265
