,precision,recall,f1-score,support
negative,0.7241379310344828,0.8289473684210527,0.7730061349693251,76.0
neutral,0.9482248520710059,0.9196556671449068,0.9337217771303714,697.0
positive,0.890728476821192,0.9212328767123288,0.9057239057239057,292.0
accuracy,0.9136150234741784,0.9136150234741784,0.9136150234741784,0.9136150234741784
macro avg,0.8543637533088936,0.8899453040927628,0.8708172726078675,1065.0
weighted avg,0.9164694083416901,0.9136150234741784,0.9145764557642423,1065.0
